Date,p,v,pADANIPORTS,vADANIPORTS,pASIANPAINT,vASIANPAINT,pAXISBANK,vAXISBANK,pBAJAJ-AUTO,vBAJAJ-AUTO,pBAJFINANCE,vBAJFINANCE,pBAJAJFINSV,vBAJAJFINSV,pBPCL,vBPCL,pBHARTIARTL,vBHARTIARTL,pINFRATEL,vINFRATEL,pBRITANNIA,vBRITANNIA,pCIPLA,vCIPLA,pCOALINDIA,vCOALINDIA
2/9/2009,2919.899902,0,69.02567291,887920,42.81326294,49210,55.45701981,12410810,,,2.411964893,86828,136.7696075,34117,26.06808281,3916170,287.0033264,4010084,,,75.12456512,5860,180.7561646,1021311,,
2/10/2009,2934.5,0,67.40522003,1699745,44.79472733,152800,55.26667786,11356660,,,2.310192585,98098,143.1923523,55387,26.20869446,2331504,286.0549622,6152929,,,76.09129333,17190,182.9645538,1379506,,
2/11/2009,2925.699951,0,66.53679657,610650,43.3686142,50480,56.57285309,13429835,,,2.334619284,17250,138.2177124,14647,26.84970856,1681872,290.3227844,4900529,,,76.04499817,1690,180.7561646,1976588,,
2/12/2009,2893.050049,0,65.78478241,955890,43.32548904,45670,56.51379013,12343235,,,2.346832991,502943,135.6586609,30091,26.63386536,3459282,280.5794067,6285594,,,75.18175507,6740,179.4875488,247387,,
2/13/2009,2948.350098,0,65.94593048,794180,44.75699234,42500,57.8134079,8345915,,,2.440460205,110068,138.3150787,18956,26.77773857,1962516,280.9672241,7254447,,,75.59294891,21050,180.1923523,943004,,
2/16/2009,2848.5,0,64.20014191,756460,43.51688766,549580,54.97787476,9084555,,,2.344796896,68600,135.6104736,10843,25.97653008,806340,274.9320984,7188135,,,74.6888504,4100,178.5008545,953703,,
2/17/2009,2770.5,0,61.94404221,455565,43.10712051,38810,52.39832687,13144880,,,2.41603303,5805536,136.5759125,15989,25.83261681,1851810,272.7338867,9633566,,,73.69216156,3040,178.1249237,1346506,,
2/18/2009,2776.149902,0,61.61214828,615345,42.86448288,41080,51.75508499,11209755,,,2.36921978,197091,136.6732635,10372,27.170187,4046076,276.2683716,5725556,,,75.33426666,17200,180.7561646,1053146,,
2/19/2009,2789.350098,0,64.90343475,2367930,43.13406754,639680,50.99368286,10887215,,,2.324442387,62764,135.7068481,12370,27.11131477,2405016,279.5446777,5027934,,,74.06252289,3270,180.4272766,515175,,
2/20/2009,2736.449951,0,64.76513672,1852180,43.03431702,27530,48.92610168,10274755,,,2.318337679,93878,140.9704742,15222,26.99032784,1724796,277.0664978,4181329,,,73.92635345,11800,176.9972839,375266,,
2/24/2009,2733.899902,0,63.83398819,1219910,42.64881134,57420,47.73807144,12938465,,,2.32036972,51957,145.9451294,19456,26.70254517,1269768,274.4579163,3948995,,,73.00865173,147790,174.7889099,540971,,
2/25/2009,2762.5,0,63.65882874,1152375,42.61646652,111900,48.05313492,11110095,,,2.267451048,46749,151.3060913,13947,26.29047585,1586922,276.2251587,7636562,,,72.28153992,9210,175.728653,780987,,
2/26/2009,2785.649902,0,63.63115692,1079160,42.44932175,39550,45.46044922,16328155,,,2.243024111,24074,152.3196869,39593,25.23739624,4084782,281.1616516,8630506,,,71.61437988,7090,180.9441376,895205,,
2/27/2009,2763.649902,0,62.99504089,1957565,42.40079117,31940,45.67049789,15414885,,,2.346832991,52965,150.1469879,37975,25.04447174,3685800,275.2551575,7108691,,,71.62527466,1290,179.9573975,768972,,
3/2/2009,2674.600098,0,58.33010864,2292915,41.69716644,48490,42.41488266,16340390,,,2.240988016,32082,145.8969421,12296,24.66509438,1859406,265.9005737,8078718,,,71.61981964,3900,179.4875488,955447,,
3/3/2009,2622.399902,0,56.53235626,631700,40.02302933,47450,42.65117264,22533445,,,2.173819542,9253,146.1387787,120392,25.19163895,3160140,259.153717,10732801,,,71.78321075,10990,180.8971405,540074,,
3/4/2009,2645.199951,0,57.89680099,2346270,39.68605042,1535020,42.29016495,19491745,,,2.129042625,59038,142.515976,7523,25.32244301,2248338,258.9385986,7512318,,,70.20648956,10670,190.3414001,1370181,,
3/5/2009,2576.699951,0,57.30677795,975945,39.27626801,31750,39.47431946,25961390,,,2.080192327,8996,140.2950745,4003,24.68146324,1048620,254.2396851,9429081,,,69.0191803,32720,189.4486694,2248902,,
3/6/2009,2620.149902,0,57.12239075,687510,39.70760727,42190,38.71949387,43328785,,,2.072051525,50773,137.4449921,235100,24.80900574,1955814,259.6278992,7200307,,,69.13354492,4890,191.3750916,838999,,
3/9/2009,2573.149902,0,54.92821884,493665,38.80989075,22420,36.9407196,18064455,,,1.94178319,61292,142.9996643,18540,23.15744591,2466000,253.3777008,4727110,,,66.71263885,8680,190.1064758,603619,,
3/12/2009,2617.449951,0,54.92821884,730430,38.23566055,4724350,39.9731636,26269915,,,2.03948307,58770,141.0678253,3502,23.21630478,4916496,236.4348145,32400844,,,67.73110962,6050,191.4690857,910369,,
3/13/2009,2719.25,0,57.47272873,657630,39.1711235,42960,43.30754471,21907730,,,2.078155756,23364,139.8605499,77968,22.56877899,2940774,240.4012604,32063031,,,67.42338562,5810,190.7172852,2269315,,
3/16/2009,2777.25,0,57.56491852,435695,39.10641861,42410,44.96817398,29074100,,,2.078155756,196968,143.6268768,8103,23.54007721,4605438,246.2861938,13621257,,,70.31541443,30070,189.5426025,837398,,
3/17/2009,2757.449951,0,57.22379303,1134420,39.97719955,46520,42.72993088,25643115,,,2.220637798,76751,140.1495819,24287,23.19342804,5370252,246.3931885,9205821,,,70.51148987,54120,188.5089111,758151,,
3/18/2009,2794.699951,0,60.22005081,1452240,40.71586609,100670,44.72531128,24488485,,,2.190105438,311245,143.2405243,13341,22.28754807,5247468,245.6175842,20290824,,,73.06311798,14750,187.6631622,525076,,
3/19/2009,2807.149902,0,57.64788055,1293020,40.26025772,33580,46.99636459,28018705,,,2.332583666,112250,145.8005829,24969,22.17963028,2915310,246.0270538,7201370,,,70.90089417,41450,185.1259308,727592,,
3/20/2009,2807.050049,0,57.95211792,732710,40.17129517,491490,44.9484787,24455430,,,2.39568305,73982,146.6214905,4454,21.77737427,3189870,245.4663696,8701394,,,73.80381012,437550,185.7367401,978149,,
3/23/2009,2939.899902,0,59.39953995,892205,40.43280411,247690,49.05080795,24043910,,,2.876038551,489130,154.4934082,28048,22.24175453,3103638,255.7271576,12419552,,,73.73301697,63860,189.5426025,1113473,,
3/24/2009,2938.699951,0,57.95211792,1041025,40.9989357,443700,48.82765198,30446405,,,2.961524963,1505566,158.9842987,17496,22.88928795,7112568,260.2532959,9992503,,,72.85070801,46320,191.0462036,1081170,,
3/25/2009,2984.350098,0,59.77752304,609980,40.89379501,184670,52.26047897,32500610,,,3.057192326,346826,158.0670471,8383,22.93833923,3207942,254.778717,10349980,,,69.85791779,70790,191.2811127,1248608,,
3/26/2009,3082.25,0,59.29812622,830860,41.5246315,212460,55.31917953,38050440,,,2.768161058,176980,162.9934692,10473,23.5008297,5358372,268.078125,15190735,,,72.31969452,45630,195.9327545,1717463,,
3/27/2009,3108.649902,0,56.81815338,46210690,41.9020462,79320,56.58598709,28983670,,,2.894356251,247535,163.7170563,8318,23.8180809,3631524,268.078125,8959965,,,72.88066101,31480,206.1757813,2225416,,
3/30/2009,2978.149902,0,58.65277863,3605440,42.89143753,116090,52.11608124,25336185,,,2.70506525,95082,155.3624878,65010,24.14836121,3579786,262.8186951,6836410,,,75.56571198,50010,204.2962952,1277724,,
3/31/2009,3020.949951,0,59.61158371,1915045,42.39809418,101730,54.4724617,48698815,,,2.843474388,225169,163.282547,13950,24.59641838,8541528,269.7590027,11526651,,,76.25196838,701060,206.7865753,1434356,,
